phase,op_name,magnitude,probability,seed,fold_idx,val_acc,val_loss,top5_acc,train_acc,train_loss,epochs_run,best_epoch,early_stopped,runtime_sec,timestamp,error,stable_score
PhaseB,ColorJitter,0.4448,0.5,42,0,19.9,3.858583,22.3,1.3778,4.500115,30,16,False,55.09,2026-01-02T01:36:05,,-1.0
PhaseB,ColorJitter,0.6075,0.5,42,0,9.4,4.063935,27.2,7.7333,4.08325,30,24,False,55.36,2026-01-02T01:37:01,,-1.0
PhaseB,ColorJitter,0.7539,0.5,42,0,8.4,3.635022,21.1,6.8667,4.111715,30,5,False,55.24,2026-01-02T01:37:56,,-1.0
PhaseB,ColorJitter,0.1906,0.5,42,0,8.9,3.200877,19.7,8.3889,3.936518,30,21,False,55.74,2026-01-02T01:38:52,,-1.0
PhaseB,ColorJitter,0.2219,0.5,42,0,8.2,4.114817,25.4,9.4,3.997933,30,28,False,67.34,2026-01-02T01:39:59,,-1.0
PhaseB,ColorJitter,0.8351,0.5,42,0,9.3,4.163265,26.2,7.2667,4.105725,30,15,False,63.49,2026-01-02T01:41:03,,-1.0
PhaseB,ColorJitter,0.5763,0.5,42,0,8.5,3.815344,25.6,9.0111,4.036385,30,24,False,56.1,2026-01-02T01:41:59,,-1.0
PhaseB,ColorJitter,0.3635,0.5,42,0,8.6,3.287778,18.2,9.3333,3.974443,30,29,False,55.5,2026-01-02T01:42:54,,-1.0
PhaseB,ColorJitter,0.3053,0.5,42,0,8.6,3.47416,24.6,9.0111,4.016333,30,19,False,64.98,2026-01-02T01:43:59,,-1.0
PhaseB,ColorJitter,0.5424,0.5,42,0,8.8,4.099545,26.7,8.8222,4.025475,30,25,False,95.37,2026-01-02T01:45:35,,-1.0
PhaseB,ColorJitter,0.4448,0.5,42,0,19.9,3.858583,22.3,1.3778,4.500115,80,16,False,160.44,2026-01-02T01:48:15,,-1.0
PhaseB,ColorJitter,0.6075,0.5,42,0,9.7,4.09377,26.4,8.6,4.06147,80,56,False,159.3,2026-01-02T01:50:54,,-1.0
PhaseB,ColorJitter,0.8351,0.5,42,0,9.3,4.163265,26.2,7.2667,4.105725,80,15,False,198.12,2026-01-02T01:54:12,,-1.0
PhaseB,ColorJitter,0.1906,0.5,42,0,9.6,4.091213,29.6,11.8889,3.892401,80,74,False,151.76,2026-01-02T01:56:44,,-1.0
PhaseB,ColorJitter,0.5424,0.5,42,0,9.8,3.047025,19.7,9.9111,3.986999,80,71,False,116.71,2026-01-02T01:58:41,,-1.0
PhaseB,ColorJitter,0.4448,0.5,42,0,32.9,3.862592,35.2,1.2444,4.570064,200,94,False,248.03,2026-01-02T02:02:49,,-1.0
PhaseB,ColorJitter,0.5424,0.5,42,0,28.7,3.206051,55.3,45.9889,2.64364,200,198,False,230.29,2026-01-02T02:06:39,,-1.0
